pl_name,Star's name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth's received flux)
Kepler-1602 b,Kepler-1602,1,1,Transit,2016.0,11.17931605,0.0,,,1.34,,0.0,6296.0,1.36,1.22,629.804,,2.607513371,
Kepler-1603 b,Kepler-1603,1,1,Transit,2016.0,2.27163926,0.0,,,1.29,,0.0,6241.0,1.31,1.21,2712.58,,2.335872703,
Kepler-1604 b,Kepler-1604,1,1,Transit,2016.0,0.683684256,0.0,,,1.41,,0.0,4976.0,0.76,0.81,541.189,,0.317715587,
Kepler-1605 b,Kepler-1605,1,1,Transit,2016.0,85.7565495,0.0,,,1.08,,0.0,5280.0,0.82,0.86,546.23,,0.468870863,
Kepler-1606 b,Kepler-1606,1,1,Transit,2016.0,196.435224,0.0,,,2.07,,0.0,5422.0,0.86,0.9,831.287,,0.573488621,
Kepler-1607 b,Kepler-1607,1,1,Transit,2016.0,13.6473676,0.0,,,0.92,,0.0,6116.0,1.21,1.14,1286.1,,1.837936479,
Kepler-1608 b,Kepler-1608,1,1,Transit,2016.0,16.4735686,0.0,,,1.73,,0.0,4992.0,0.72,0.75,,,0.288837215,
Kepler-1609 b,Kepler-1609,1,1,Transit,2016.0,114.34219,0.0,,,2.22,,0.0,6132.0,1.27,1.18,1826.04,,2.046001165,
Kepler-161 b,Kepler-161,1,2,Transit,2014.0,4.921355,0.013473936,0.054,,2.12,,0.0,5078.0,0.806,,434.632,945.9644511,0.387552658,132.9055754
Kepler-161 c,Kepler-161,1,2,Transit,2014.0,7.06424,0.019340835,0.068,,2.05,,0.0,5078.0,0.806,,434.632,842.9799393,0.387552658,83.81329107
Kepler-1610 b,Kepler-1610,1,2,Transit,2016.0,8.70181574,0.0,,,1.61,,0.0,5383.0,0.87,0.91,864.331,,0.570198243,
Kepler-1610 c,Kepler-1610,1,2,Transit,2023.0,44.9851885,0.123267004,0.2323,0.0,2.09,,0.0,5295.0,0.8,0.825,864.331,473.8030277,0.45137103,8.364409028
Kepler-1611 b,Kepler-1611,1,1,Transit,2016.0,5.1762429,0.0,,,0.81,,0.0,5605.0,0.93,0.94,908.444,,0.765875567,
Kepler-1612 b,Kepler-1612,1,1,Transit,2016.0,3.91795101,0.0,,,1.03,,0.0,5643.0,0.94,0.96,764.726,,0.803869883,
Kepler-1613 b,Kepler-1613,1,1,Transit,2016.0,1.5184299,0.0,,,2.08,,0.0,6005.0,1.12,1.08,1508.33,,1.46345018,
Kepler-1614 b,Kepler-1614,1,1,Transit,2016.0,3.9466141,0.0,,,1.49,,0.0,5121.0,0.76,0.79,1191.19,,0.356398722,
Kepler-1615 b,Kepler-1615,1,1,Transit,2016.0,47.3126192,0.0,,,2.06,,0.0,5865.0,1.05,1.04,1393.83,,1.170416711,
Kepler-1616 b,Kepler-1616,1,1,Transit,2016.0,6.76284377,0.0,,,1.02,,0.0,6266.0,1.34,1.21,1137.81,,2.483481956,
Kepler-1617 b,Kepler-1617,1,1,Transit,2016.0,27.4785572,0.0,,,1.2,,0.0,6167.0,1.22,1.15,898.31,,1.93154711,
Kepler-1618 b,Kepler-1618,1,1,Transit,2016.0,6.10826019,0.0,,,1.26,,0.0,6620.0,1.65,1.41,1229.25,,4.691262085,
Kepler-1619 b,Kepler-1619,1,1,Transit,2016.0,23.6225913,0.0,,,0.76,,0.0,5852.0,1.0,1.0,734.85,,1.052221375,
Kepler-162 b,Kepler-162,1,2,Transit,2014.0,6.919798,0.018945374,0.069,,1.26,,0.0,5816.0,0.958,,855.641,1044.946572,0.942146544,197.8883731
Kepler-162 c,Kepler-162,1,2,Transit,2014.0,19.446355,0.053241218,0.137,,3.03,,0.0,5816.0,0.958,,855.641,741.5805785,0.942146544,50.19694946
Kepler-1620 b,Kepler-1620,1,1,Transit,2016.0,101.951829,0.0,,,1.61,,0.0,6157.0,1.23,1.15,895.069,,1.950638031,
Kepler-1621 b,Kepler-1621,1,1,Transit,2016.0,92.263714,0.0,,,2.16,,0.0,6158.0,1.24,1.15,1631.66,,1.983772925,
Kepler-1622 b,Kepler-1622,1,1,Transit,2016.0,10.8118737,0.0,,,1.47,,0.0,6436.0,1.5,1.31,796.477,,3.463670014,
Kepler-1623 b,Kepler-1623,1,1,Transit,2016.0,4.36128348,0.0,,,1.31,,0.0,5772.0,1.0,1.0,837.481,,0.995852779,
Kepler-1624 b,Kepler-1624,1,1,Transit,2016.0,3.290304518,0.0,,,5.7,,0.0,3636.0,0.47,0.5,258.979,,0.034640254,
Kepler-1625 b,Kepler-1625,1,1,Transit,2016.0,287.378949,0.0,,,6.06,,0.0,5677.0,0.94,0.96,2310.11,,0.823419474,
Kepler-1626 b,Kepler-1626,1,1,Transit,2016.0,4.13962966,0.0,,,2.02,,0.0,6826.0,1.85,1.51,1368.83,,6.666508582,
Kepler-1627 b,Kepler-1627,1,1,Transit,2016.0,7.20283653,0.0,,,3.69,,0.0,5445.0,0.84,0.87,317.437,,0.556467697,
Kepler-1628 b,Kepler-1628,1,1,Transit,2016.0,76.378033,0.0,,,6.43,,0.0,3724.0,0.52,0.55,,,0.046658978,
Kepler-1629 b,Kepler-1629,1,1,Transit,2016.0,3.87595807,0.0,,,0.77,,0.0,5776.0,1.01,1.01,336.09,,1.018688341,
Kepler-163 b,Kepler-163,1,2,Transit,2014.0,7.810937,0.02138518,0.078,,1.05,,0.0,5776.0,0.917,,689.814,954.9398779,0.839725341,138.0219167
Kepler-163 c,Kepler-163,1,2,Transit,2014.0,21.347262,0.058445618,0.152,,2.26,,0.0,5776.0,0.917,,689.814,684.0715629,0.839725341,36.34545279
Kepler-1630 b,Kepler-1630,1,1,Transit,2016.0,509.997402,0.0,,,2.19,,0.0,4736.0,0.63,0.66,331.213,,0.179150376,
Kepler-1631 b,Kepler-1631,1,1,Transit,2016.0,4.09513932,0.0,,,1.35,,0.0,5679.0,0.95,0.97,1305.99,,0.842218032,
Kepler-1632 b,Kepler-1632,1,1,Transit,2016.0,448.303558,0.0,,,2.47,,0.0,6137.0,1.19,1.12,716.76,,1.802221913,
Kepler-1633 b,Kepler-1633,1,1,Transit,2016.0,186.404271,0.0,,,1.58,,0.0,6256.0,1.32,1.2,1114.91,,2.394554205,
Kepler-1634 b,Kepler-1634,1,1,Transit,2016.0,374.876239,0.0,,,3.19,,0.0,5474.0,0.89,0.92,617.339,,0.638100427,
Kepler-1635 b,Kepler-1635,1,1,Transit,2016.0,469.63111,0.0,,,3.64,,0.0,5347.0,0.85,0.89,1069.45,,0.52986891,
Kepler-1636 b,Kepler-1636,1,1,Transit,2016.0,425.47785,0.0,,,3.23,,0.0,5797.0,1.02,1.01,1947.54,,1.054152383,
Kepler-1637 b,Kepler-1637,1,1,Transit,2016.0,6.10960324,0.0,,,0.89,,0.0,5789.0,1.02,1.02,567.187,,1.048345395,
Kepler-1638 b,Kepler-1638,1,1,Transit,2016.0,259.33683,0.0,,,1.87,,0.0,5710.0,0.95,0.97,1525.52,,0.860758844,
Kepler-1639 b,Kepler-1639,1,1,Transit,2016.0,9.878482,0.0,,,2.58,,0.0,6150.0,1.18,1.12,1031.31,,1.787122521,
Kepler-164 b,Kepler-164,1,4,Transit,2014.0,5.03503,0.013785161,0.058,,1.41,,0.0,5888.0,1.148,,890.758,1263.095614,1.421166074,422.463161
Kepler-164 c,Kepler-164,1,4,Transit,2014.0,10.945723,0.029967756,0.097,,2.73,,0.0,5888.0,1.148,,890.758,976.7071272,1.421166074,151.0432643
Kepler-164 d,Kepler-164,1,4,Transit,2014.0,28.986769,0.079361448,0.187,,2.45,,0.0,5888.0,1.148,,890.758,703.4438235,1.421166074,40.64074105
Kepler-164 e,Kepler-164,1,4,Transit,2023.0,94.886902,0.259812633,0.4025,0.0,4.24,,0.0,5888.0,1.097,0.966,890.758,468.7050701,1.297700017,8.010184899
Kepler-1640 b,Kepler-1640,1,1,Transit,2016.0,7.5844126,0.0,,,4.82,,0.0,6324.0,1.43,1.27,1859.78,,2.934467946,
Kepler-1641 b,Kepler-1641,1,2,Transit,2016.0,19.672266,0.0,,,3.11,,0.0,6152.0,1.19,1.12,860.37,,1.819906516,
Kepler-1641 c,Kepler-1641,1,2,Transit,2016.0,32.657212,0.0,,,2.95,,0.0,6152.0,1.19,1.12,860.37,,1.819906516,
Kepler-1642 b,Kepler-1642,1,2,Transit,2016.0,12.2057513,0.0,,,3.2,,0.0,5355.0,0.84,0.88,413.873,,0.520578614,
Kepler-1642 c,Kepler-1642,1,2,Transit,2016.0,6.6513802,0.0,,,2.66,,0.0,5355.0,0.84,0.88,413.873,,0.520578614,
Kepler-1643 b,Kepler-1643,1,1,Transit,2016.0,5.342657,0.0,,,2.32,,0.0,4916.0,0.855,0.845,341.774,,0.383062445,
Kepler-1644 b,Kepler-1644,1,1,Transit,2016.0,21.0907758,0.0,,,1.88,,0.0,5499.0,0.86,0.89,629.27,,0.60676655,
Kepler-1645 b,Kepler-1645,1,1,Transit,2016.0,16.1779561,0.0,,,1.78,,0.0,5812.0,1.02,1.02,1202.47,,1.065105472,
Kepler-1646 b,Kepler-1646,1,1,Transit,2016.0,4.48558383,0.0,,,1.23,,0.0,3299.0,0.26,0.24,127.591,,0.007183991,
Kepler-1647 b,Kepler-1647,2,1,Transit,2016.0,1107.5923,4.061333216,2.7205,0.0581,11.8739,483.0,1.589712424,6210.0,1.7903,1.2207,1212.45,242.9078889,4.276691013,0.577843741
Kepler-1649 b,Kepler-1649,1,2,Transit,2017.0,8.689099,0.0,,,1.017,,0.0,3240.0,0.2317,0.1977,92.1913,,0.005307891,
Kepler-1649 c,Kepler-1649,1,2,Transit,2020.0,19.53527,0.0,,,1.06,,0.0,3240.0,0.2317,0.1977,92.1913,,0.005307891,
Kepler-165 b,Kepler-165,1,2,Transit,2014.0,8.180848,0.022397941,0.072,,2.32,,0.0,5211.0,0.77,,560.885,821.6969334,0.392243353,75.66422709
Kepler-165 c,Kepler-165,1,2,Transit,2014.0,15.31299,0.041924682,0.11,,2.23,,0.0,5211.0,0.77,,560.885,664.7855513,0.392243353,32.41680605
Kepler-1650 b,Kepler-1650,1,1,Transit,2017.0,1.53818001,0.0,,0.01,0.96,,0.0,3410.0,0.334,0.326,134.397,,0.013533194,
Kepler-1651 b,Kepler-1651,2,1,Transit,2017.0,9.87863917,0.0,,0.13,1.84,,0.0,3713.0,0.503,0.522,66.4074,,0.043144518,
Kepler-1652 b,Kepler-1652,1,1,Transit,2017.0,38.09722,0.105830921,0.1654,,1.6,,0.0,3638.0,0.382,0.404,,266.5864689,0.022933342,0.838293974
Kepler-1653 b,Kepler-1653,1,1,Transit,2017.0,140.2524,0.380726792,0.4706,,2.17,,0.0,4807.0,0.693,0.719,,281.2718416,0.230066194,1.038840714
Kepler-1654 b,Kepler-1654,1,1,Transit,2018.0,1047.8356,2.8680293,2.026,0.26,9.180171,158.915,1.131785637,5597.0,1.179,1.011,568.117,205.8751685,1.223879577,0.298167158
Kepler-1655 b,Kepler-1655,1,1,Transit,2018.0,11.8728787,0.032524037,0.1029,0.19,2.213,5.4,2.745371475,6148.0,1.03,1.03,213.26,937.8994095,1.359877333,128.4307401
Kepler-1656 b,Kepler-1656,1,2,Transit,2018.0,31.562,0.086417582,0.1974,0.838,,47.8,,,1.1,1.03,185.875,0.0,0.0,0.0
Kepler-1656 c,Kepler-1656,1,2,Radial Velocity,2022.0,1919.0,5.256196517,3.053,0.527,,126.4,,,1.1,1.03,185.875,0.0,0.0,0.0
Kepler-166 b,Kepler-166,1,3,Transit,2014.0,7.650254,0.020945254,0.072,,2.27,,0.0,5413.0,0.742,,603.53,837.8865328,0.424081931,81.80592808
Kepler-166 c,Kepler-166,1,3,Transit,2014.0,34.260281,0.093799537,0.195,,2.38,,0.0,5413.0,0.742,,603.53,509.1364061,0.424081931,11.15271351
Kepler-166 d,Kepler-166,1,3,Transit,2016.0,1.554003928,0.0,,,1.73,,0.0,5350.0,0.83,0.88,603.53,,0.506362066,
Kepler-1660 AB b,Kepler-1660 A,2,1,Eclipse Timing Variations,2023.0,239.5044,0.0,,0.05541,,1586.599408,,,1.491,1.1366,1188.54,,0.0,
Kepler-1661 b,Kepler-1661,2,1,Transit,2020.0,175.06,0.549170964,0.633,0.057,3.87,17.0,1.616097748,5100.0,0.762,0.841,410.607,269.80953,0.352436189,0.879575405
Kepler-1663 b,Kepler-1663,1,1,Transit,2020.0,17.6046,0.0,,,3.30395896,,0.0,3844.0,0.62859,0.610816,337.926,,0.077403091,
Kepler-1664 b,Kepler-1664,1,1,Transit,2020.0,14.3868,0.039388912,,,3.03320653,,0.0,5735.81,,,626.691,,0.0,
Kepler-1665 b,Kepler-1665,1,1,Transit,2020.0,11.9548,0.0,,,2.83910787,,0.0,5049.84,0.777785,0.842,335.515,,0.35295509,
Kepler-1666 b,Kepler-1666,1,2,Transit,2020.0,25.8476,0.0,,,2.88273782,,0.0,6293.0,1.14586,1.23,1379.37,,1.847497653,
Kepler-1666 c,Kepler-1666,1,2,Transit,2020.0,40.7157,0.0,,,3.23564749,,0.0,6293.0,1.14586,1.23,1379.37,,1.847497653,
Kepler-1667 b,Kepler-1667,1,1,Transit,2020.0,83.5781,0.0,,,2.98385261,,0.0,5941.54,1.08751,1.09,626.819,,1.32236842,
Kepler-1668 b,Kepler-1668,1,1,Transit,2020.0,15.434,0.0,,,4.34764405,,0.0,5542.0,1.01738,0.98,1335.64,,0.876036754,
Kepler-1669 b,Kepler-1669,1,3,Transit,2020.0,9.51216,0.0,,,2.78043818,,0.0,4303.0,0.714145,0.67,543.444,,0.156872939,
Kepler-1669 c,Kepler-1669,1,3,Transit,2021.0,1.609320045,0.0,,,1.90120972,,0.0,4224.0,0.603,0.609,543.444,,0.103853255,
Kepler-1669 d,Kepler-1669,1,3,Transit,2023.0,4.72941177,0.012973589,0.0468,0.0,1.22,,0.0,4224.0,0.603,0.609,543.444,731.0904614,0.103853255,47.41638125
Kepler-167 b,Kepler-167,2,4,Transit,2014.0,4.3931539,0.012023626,0.04825,0.0,1.718,,0.0,4884.0,0.749,0.777,341.908,927.8534436,0.286388851,123.0159631
Kepler-167 c,Kepler-167,2,4,Transit,2014.0,7.406106,0.02029428,0.0684,0.0,1.674,,0.0,4884.0,0.749,0.777,341.908,779.2915944,0.286388851,61.21303363
Kepler-167 d,Kepler-167,2,4,Transit,2016.0,21.80379,0.059681558,0.1404,0.0,1.238,,0.0,4884.0,0.749,0.777,341.908,543.9318489,0.286388851,14.52853724
Kepler-167 e,Kepler-167,2,4,Transit,2016.0,1071.23205,2.931331741,1.883,0.29,10.16,321.0066911,1.686493066,4884.0,0.749,0.777,341.908,148.526136,0.286388851,0.080771001
Kepler-1670 b,Kepler-1670,1,1,Transit,2020.0,20.4998,0.0,,,3.3564801,,0.0,5838.0,1.51889,1.05,2065.98,,2.404356479,
Kepler-1671 b,Kepler-1671,1,1,Transit,2020.0,4.16787,0.0,,,1.32557381,,0.0,5135.55,0.929771,0.866,357.059,,0.539497815,
Kepler-1672 b,Kepler-1672,1,1,Transit,2020.0,150.878,0.0,,,2.97022762,,0.0,6131.95,1.08841,1.16,391.181,,1.502689723,
Kepler-1673 b,Kepler-1673,1,1,Transit,2020.0,33.7888,0.0,,,2.9355194,,0.0,6014.95,1.13166,1.11,727.187,,1.504007033,
Kepler-1674 b,Kepler-1674,1,1,Transit,2020.0,62.5611,0.0,,,3.2057749,,0.0,5473.91,0.877273,0.96,1012.48,,0.619940468,
Kepler-1675 b,Kepler-1675,1,1,Transit,2020.0,63.0382,0.0,,,3.12483349,,0.0,5853.19,1.12865,1.06,651.117,,1.341463652,
Kepler-1676 b,Kepler-1676,1,1,Transit,2020.0,29.9221,0.081922245,,,3.3769596,,0.0,5878.3,1.06066,,,,1.205172513,
Kepler-1677 b,Kepler-1677,1,1,Transit,2020.0,22.064,0.0,,,2.70216183,,0.0,6013.72,1.24959,1.11,735.369,,1.832304911,
Kepler-1678 b,Kepler-1678,1,1,Transit,2020.0,147.974,0.0,,,3.30422249,,0.0,5754.0,0.834976,1.03,847.339,,0.685673343,
Kepler-1679 b,Kepler-1679,1,1,Transit,2020.0,9.75376,0.0,,,2.0692036,,0.0,5501.0,0.873196,0.96,909.28,,0.626440612,
Kepler-168 b,Kepler-168,1,2,Transit,2014.0,4.425391,0.01211606,0.056,,1.46,,0.0,6282.0,1.107,,1343.6,1346.756895,1.712288027,546.0102127
Kepler-168 c,Kepler-168,1,2,Transit,2014.0,13.193242,0.036121128,0.116,,2.69,,0.0,6282.0,1.107,,1343.6,935.7379141,1.712288027,127.2508938
Kepler-1680 b,Kepler-1680,1,1,Transit,2020.0,8.77424,0.0,,,1.35954736,,0.0,5021.0,0.723259,0.834,310.315,,0.298289818,
Kepler-1681 b,Kepler-1681,1,1,Transit,2020.0,69.8956,0.191363723,,,2.55321772,,0.0,5756.4,,,758.3,,0.0,
Kepler-1682 b,Kepler-1682,1,1,Transit,2020.0,14.8334,0.0,,,2.88940836,,0.0,5619.12,0.842301,0.99,1159.85,,0.634596555,
Kepler-1683 b,Kepler-1683,1,1,Transit,2020.0,15.0337,0.0,,,1.87477762,,0.0,5429.0,0.900327,0.95,733.143,,0.631785662,
Kepler-1684 b,Kepler-1684,1,1,Transit,2020.0,47.7055,0.0,,,2.87084792,,0.0,4706.54,0.666755,0.75,621.996,,0.195717396,
Kepler-1685 b,Kepler-1685,1,1,Transit,2020.0,20.4905,0.0,,,2.57673985,,0.0,5484.0,0.835451,0.96,1141.89,,0.566397856,
Kepler-1686 b,Kepler-1686,1,1,Transit,2020.0,9.30987,0.0,,,1.42553017,,0.0,5714.96,1.19951,1.02,729.823,,1.377052113,
Kepler-1687 b,Kepler-1687,1,1,Transit,2020.0,5.77954,0.0,,,1.65623882,,0.0,4132.0,0.726119,0.65,417.014,,0.137894423,
Kepler-1688 b,Kepler-1688,1,1,Transit,2020.0,5.62012,0.01538705,,,1.26174569,,0.0,4632.11,,,,,0.0,
Kepler-1689 b,Kepler-1689,1,1,Transit,2020.0,8.483,0.0,,,0.94678642,,0.0,5731.43,0.996208,1.023,294.122,,0.960819637,
Kepler-169 b,Kepler-169,1,5,Transit,2014.0,3.250619,0.00889971,0.04,,1.13,,0.0,4997.0,0.763,,406.529,1052.332786,0.325668927,203.5430796
Kepler-169 c,Kepler-169,1,5,Transit,2014.0,6.195469,0.01696227,0.062,,1.21,,0.0,4997.0,0.763,,406.529,845.2540343,0.325668927,84.72136506
Kepler-169 d,Kepler-169,1,5,Transit,2014.0,8.348125,0.022855921,0.075,,1.25,,0.0,4997.0,0.763,,406.529,768.5152067,0.325668927,57.89669818
Kepler-169 e,Kepler-169,1,5,Transit,2014.0,13.767102,0.037692271,0.105,,2.2,,0.0,4997.0,0.763,,406.529,649.5138967,0.325668927,29.53913173
Kepler-169 f,Kepler-169,1,5,Transit,2014.0,87.090195,0.238439959,0.359,,2.58,,0.0,4997.0,0.763,,406.529,351.2658038,0.325668927,2.526896341
Kepler-1690 b,Kepler-1690,1,1,Transit,2020.0,234.636,0.0,,,2.81109223,,0.0,5404.0,0.862346,0.94,703.789,,0.569002688,
Kepler-1691 b,Kepler-1691,1,1,Transit,2020.0,3.8482,0.0,,,1.83470985,,0.0,6000.0,1.13152,1.11,1267.67,,1.488741589,
Kepler-1692 b,Kepler-1692,1,1,Transit,2020.0,5.95966,0.0,,,1.11177184,,0.0,5146.0,0.866139,0.87,591.019,,0.472002355,
Kepler-1693 b,Kepler-1693,1,2,Transit,2020.0,12.0999,0.0,,,1.28938413,,0.0,5432.34,0.878295,0.95,760.065,,0.602723946,
Kepler-1693 c,Kepler-1693,1,2,Transit,2021.0,5.363709927,0.0,,,0.97698289,,0.0,5553.0,1.098,0.941,760.065,,1.028502198,
Kepler-1694 b,Kepler-1694,1,1,Transit,2020.0,3.89526,0.0,,,1.17986031,,0.0,4954.0,0.756284,0.82,513.329,,0.309089096,
Kepler-1695 b,Kepler-1695,1,1,Transit,2020.0,4.7329,0.0,,,1.11948901,,0.0,5473.19,0.987155,0.96,791.175,,0.784553652,
Kepler-1696 b,Kepler-1696,1,1,Transit,2020.0,65.9409,0.0,,,2.80982017,,0.0,5712.0,1.19811,1.02,1506.36,,1.370995506,
Kepler-1697 b,Kepler-1697,1,1,Transit,2020.0,33.4969,0.0,,,1.25954761,,0.0,4681.53,0.772344,0.747,247.771,,0.257076659,
Kepler-1698 b,Kepler-1698,1,1,Transit,2020.0,1.2107,0.0,,,1.07315686,,0.0,4975.03,0.741698,0.822,222.345,,0.302361772,
Kepler-1699 b,Kepler-1699,1,1,Transit,2020.0,3.49082,0.009557344,,,1.56671124,,0.0,5575.53,,,818.759,,0.0,
Kepler-17 b,Kepler-17,1,1,Transit,2011.0,1.4857108,0.004089634,0.02591,0.011,14.68,778.65,1.356174956,5781.0,1.01034,1.04,720.753,1740.662267,1.022908582,1523.708871
Kepler-170 b,Kepler-170,1,2,Transit,2014.0,7.930592,0.021712778,0.08,,3.2,,0.0,5679.0,1.035,,738.657,984.937173,0.999673142,156.1989285
Kepler-170 c,Kepler-170,1,2,Transit,2014.0,16.665863,0.045628646,0.131,,2.86,,0.0,5679.0,1.035,,738.657,769.6935981,0.999673142,58.25261595
Kepler-1700 b,Kepler-1700,1,1,Transit,2020.0,234.239,0.0,,,2.90129941,,0.0,6031.0,1.0937,1.12,717.597,,1.419853669,
Kepler-1701 b,Kepler-1701,1,1,Transit,2020.0,169.134,0.0,,,2.22186207,,0.0,5146.0,0.840217,0.87,584.142,,0.444172745,
Kepler-1702 b,Kepler-1702,1,1,Transit,2020.0,18.5012,0.0,,,1.60190793,,0.0,5093.0,0.725742,0.85,857.14,,0.317942855,
Kepler-1704 b,Kepler-1704,1,1,Transit,2013.0,988.88112,2.712422946,2.027,0.92,11.94877343,1322.166173,4.270391205,5746.0,1.697,1.132,835.455,253.5076953,2.816540635,0.685501681
Kepler-1705 b,Kepler-1705,1,2,Transit,2021.0,9.03502,0.0,,0.033,2.03,4.47,2.944225083,6312.0,1.259,1.139,1633.49,,2.2574039,
Kepler-1705 c,Kepler-1705,1,2,Transit,2021.0,11.28,0.0,,0.028,2.05,5.42,3.466484816,6312.0,1.259,1.139,1633.49,,2.2574039,
Kepler-1708 b,Kepler-1708,1,1,Transit,2021.0,737.1131,2.013498565,1.64,0.4,9.96,1462.010672,8.15312548,6157.0,1.117,1.088,1666.69,245.0108375,1.608691661,0.598115579
Kepler-1709 b,Kepler-1709,1,1,Transit,2021.0,65.70459747,0.0,,,3.12424875,,0.0,5918.0,1.043,1.003,273.946,,1.19717685,
Kepler-171 b,Kepler-171,1,3,Transit,2014.0,4.166972,0.011408548,0.05,,2.34,,0.0,5642.0,0.839,,863.855,1114.398551,0.639950082,255.9800327
Kepler-171 c,Kepler-171,1,3,Transit,2014.0,11.463462,0.031385248,0.098,,2.56,,0.0,5642.0,0.839,,863.855,795.9989649,0.639950082,66.63370281
Kepler-171 d,Kepler-171,1,3,Transit,2014.0,39.595519,0.108406623,0.223,,1.89,,0.0,5642.0,0.839,,863.855,527.6830076,0.639950082,12.86875026
Kepler-1710 b,Kepler-1710,1,1,Transit,2021.0,14.91110039,0.0,,,3.19744103,,0.0,5650.0,0.899,0.932,305.193,,0.738929533,
Kepler-1711 b,Kepler-1711,1,1,Transit,2021.0,21.06080055,0.0,,,1.923,,0.0,5706.0,1.034,0.94,590.268,,1.016852584,
Kepler-1712 b,Kepler-1712,1,1,Transit,2021.0,13.81499958,0.0,,,2.28372556,,0.0,3732.0,0.509,0.515,156.264,,0.045091217,
Kepler-1713 b,Kepler-1713,1,1,Transit,2021.0,18.01160049,0.0,,,1.71673535,,0.0,6477.0,1.459,1.3,295.293,,3.361212902,
Kepler-1714 b,Kepler-1714,1,1,Transit,2021.0,10.27530003,0.0,,,3.26437302,,0.0,6150.0,2.086,1.448,409.46,,5.584945266,
Kepler-1715 b,Kepler-1715,1,1,Transit,2021.0,35.59730148,0.0,,,4.14042267,,0.0,6212.0,1.209,1.082,522.605,,1.952847095,
Kepler-1716 b,Kepler-1716,1,1,Transit,2021.0,35.58100128,0.0,,,2.4247685,,0.0,4894.0,0.684,0.753,195.439,,0.240800793,
Kepler-1717 b,Kepler-1717,1,1,Transit,2021.0,30.65279961,0.0,,,2.98929758,,0.0,6200.0,1.64,1.158,1008.79,,3.56569592,
Kepler-1718 b,Kepler-1718,1,1,Transit,2021.0,135.1880035,0.0,,,2.5685207,,0.0,5731.0,0.906,0.846,375.522,,0.794452396,
Kepler-1719 b,Kepler-1719,1,1,Transit,2021.0,6.149559975,0.0,,,3.95000623,,0.0,5687.0,1.775,1.08,905.406,,2.956783171,
Kepler-172 b,Kepler-172,1,4,Transit,2014.0,2.940309,0.008050127,0.04,,2.35,,0.0,5526.0,1.085,,828.592,1387.737208,0.984901613,615.5635081
Kepler-172 c,Kepler-172,1,4,Transit,2014.0,6.388996,0.017492118,0.068,,2.86,,0.0,5526.0,1.085,,828.592,1064.345852,0.984901613,212.9977537
Kepler-172 d,Kepler-172,1,4,Transit,2014.0,14.627119,0.040046869,0.118,,2.25,,0.0,5526.0,1.085,,828.592,807.9718399,0.984901613,70.73410032
Kepler-172 e,Kepler-172,1,4,Transit,2014.0,35.118736,0.096149859,0.211,,2.76,,0.0,5526.0,1.085,,828.592,604.2212578,0.984901613,22.12218083
Kepler-1720 b,Kepler-1720,1,1,Transit,2021.0,12.70639992,0.0,,,3.21585295,,0.0,5573.0,0.839,0.939,629.445,,0.609214097,
Kepler-1721 b,Kepler-1721,1,1,Transit,2021.0,4.592380047,0.0,,,3.11856756,,0.0,5351.0,0.796,0.89,641.374,,0.46607498,
Kepler-1722 b,Kepler-1722,1,1,Transit,2021.0,9.178569794,0.0,,,2.86719266,,0.0,5506.0,0.788,0.876,772.283,,0.512020222,
Kepler-1723 b,Kepler-1723,1,1,Transit,2021.0,39.75289917,0.0,,,2.88046569,,0.0,6072.0,1.01,0.96,811.278,,1.244112487,
Kepler-1724 b,Kepler-1724,1,1,Transit,2021.0,6.45442009,0.0,,,2.83677238,,0.0,6092.0,0.943,1.016,1060.77,,1.098886439,
Kepler-1725 b,Kepler-1725,1,1,Transit,2021.0,16.71990013,0.0,,,2.8125177,,0.0,6020.0,1.085,1.049,558.652,,1.387187898,
Kepler-1726 b,Kepler-1726,1,1,Transit,2021.0,18.39629936,0.0,,,2.50861954,,0.0,5316.0,0.804,0.876,390.552,,0.463171509,
Kepler-1727 b,Kepler-1727,1,1,Transit,2021.0,9.029299736,0.0,,,3.17321625,,0.0,5349.0,0.82,0.824,894.187,,0.493864656,
Kepler-1728 b,Kepler-1728,1,1,Transit,2021.0,4.782999992,0.0,,,2.95501875,,0.0,5170.0,0.807,0.891,651.783,,0.417444835,
Kepler-1729 b,Kepler-1729,1,1,Transit,2021.0,4.220970154,0.0,,,3.89404186,,0.0,3837.0,0.517,0.544,576.181,,0.051980222,
Kepler-173 b,Kepler-173,1,2,Transit,2014.0,4.263742,0.011673489,0.048,,1.29,,0.0,6031.0,0.949,,833.165,1293.043974,1.069004636,463.9777067
Kepler-173 c,Kepler-173,1,2,Transit,2014.0,8.005777,0.021918623,0.074,,2.43,,0.0,6031.0,0.949,,833.165,1041.401151,1.069004636,195.2163324
Kepler-1730 b,Kepler-1730,1,1,Transit,2021.0,13.81019974,0.0,,,4.48524519,,0.0,5942.0,1.142,1.009,1427.08,,1.45865521,
