pl_name,Star's name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth's received flux)
TOI-5005 b,TOI-5005,1,1,Transit,2024.0,6.3085044,0.017270719,0.06614,,6.25,32.7,0.738004992,5749.0,0.93,0.97,207.891,1039.472888,0.847666425,193.7744891
TOI-5027 b,TOI-5027,1,1,Transit,2025.0,10.24368,0.028081761,0.093,0.385,10.76062147,642.0133821,2.839119133,5909.0,0.92,1.02,204.429,896.14422,0.925809141,107.0423334
TOI-5076 b,TOI-5076,2,1,Transit,2024.0,23.443162,0.064164392,0.1481,0.0,3.48935569,16.14568308,2.093978879,4780.0,0.844,0.789,82.857,550.215815,0.333646313,15.21164609
TOI-5082.01,TOI-5082,1,1,Transit,2024.0,4.240122,0.011606338,0.051204842,,2.54811,,0.0,5670.0,0.93,0.99665,43.1406,1165.146397,0.802025142,305.8904524
TOI-5108 b,TOI-5108,1,1,Transit,2025.0,6.753581,0.018805633,0.073,,6.6,32.0,0.613295489,5808.0,1.29,1.1,130.919,1177.257623,1.698930845,318.8085654
TOI-5110 b,TOI-5110,1,1,Transit,2024.0,30.158577,0.082654084,0.2157,0.745,11.98240037,921.7023803,2.951962444,6160.0,2.333,1.469,392.259,976.8423677,7.031406016,151.126939
TOI-512 b,TOI-512,1,1,Transit,2025.0,7.18886,0.0,,0.02,1.54,3.57,5.385892148,5277.0,0.89,0.74,67.3975,,0.551084556,
TOI-5126 b,TOI-5126,1,2,Transit,2023.0,5.4588385,0.014947227,0.06519,0.0,4.74,,0.0,6150.0,1.241,1.24,160.414,1293.844234,1.976668658,465.1273893
TOI-5126 c,TOI-5126,1,2,Transit,2023.0,17.8999,0.049020795,0.1439,0.0,3.86,,0.0,6150.0,1.241,1.24,160.414,870.8474574,1.976668658,95.4579906
TOI-5143 c,TOI-5143,1,1,Transit,2025.0,5.2097118,0.01426454,0.05602,,16.25302201,,0.0,5183.0,0.852,0.864,181.38,974.6325973,0.469995689,149.764081
TOI-5153 b,TOI-5153,1,1,Transit,2022.0,20.33003,0.056399439,0.158,0.091,11.88151954,1036.120607,3.403658273,6300.0,1.4,1.24,390.484,904.2478866,2.770180827,110.9670256
TOI-5174 b,TOI-5174,1,1,Transit,2022.0,12.214286,0.0,,,5.351,,0.0,5643.77,1.09457,1.0,197.243,,1.090571536,
TOI-5181 A b,TOI-5181 A,2,1,Transit,2025.0,3.8922295,0.010667208,0.0522,0.15,13.34989601,330.5415433,0.765497896,6060.0,1.53,1.25,480.155,1581.956607,2.832456235,1039.494515
TOI-519 b,TOI-519,1,1,Transit,2021.0,1.2652328,0.003463963,0.0159,0.33,11.54525012,147.1545524,0.526884306,3322.0,0.35,0.335,115.557,751.5304241,0.013385187,52.94564001
TOI-5205 b,TOI-5205,1,1,Transit,2023.0,1.630757,0.0044837,0.0199,0.02,11.6,343.0,1.210798157,3430.0,0.394,0.392,86.4493,735.9141802,0.019277858,48.68022994
TOI-521 b,TOI-521,1,1,Transit,2025.0,1.54285047,0.004201722,0.0195,0.0,1.98,5.3,3.762113534,3544.0,0.421,0.42,60.9425,794.0154153,0.025085854,65.97200326
TOI-5210 b,TOI-5210,1,1,Transit,2025.0,4.5661061,0.012505517,0.0557,0.066,10.72699453,81.99972901,0.366041089,5723.0,1.209,1.105,302.086,1285.644148,1.406816442,453.4475346
TOI-5218 b,TOI-5218,1,1,Transit,2024.0,4.291452,0.01181509,0.0469,0.0,9.86,657.0,3.776471605,4230.0,0.708,0.739,377.483,792.4685823,0.143985194,65.45941947
TOI-5232 b,TOI-5232,1,1,Transit,2024.0,4.0966692,0.011223185,0.05593,0.035,12.778238,743.7184724,1.964026074,6500.0,1.785,1.389,609.388,1770.604387,5.102931252,1631.285886
TOI-5238 b,TOI-5238,1,1,Transit,2022.0,4.872171,0.0,,,5.22,,0.0,5631.0,1.02283,1.0,290.646,,0.94371069,
TOI-5261 b,TOI-5261,1,1,Transit,2025.0,4.1509768,0.011423375,0.05134,0.1585,11.60129502,3651.848396,12.88679517,5790.0,1.021,1.037,377.054,1245.016139,1.051127961,398.7896335
TOI-5293 A b,TOI-5293 A,2,1,Transit,2023.0,2.930289,0.008531423,0.034,0.38,11.9,170.4,0.557160482,3586.0,0.52,0.54,162.229,676.2137185,0.040117853,34.70402472
TOI-530 b,TOI-530,1,1,Transit,2021.0,6.387597,0.016287974,0.052,0.0,9.30345398,127.1313628,0.869904666,3659.0,0.54,0.53,148.762,568.550566,0.04689505,17.34284411
TOI-5300 b,TOI-5300,1,1,Transit,2025.0,2.262196,0.006190071,0.0295,0.0,9.86390302,190.6970442,1.094836277,4610.0,0.65,0.67,162.51,1043.417399,0.171206506,196.7325553
TOI-5301 b,TOI-5301,1,1,Transit,2024.0,5.858858,0.016196222,0.073,0.33,13.09208946,1182.321674,2.903089047,6240.0,2.19,1.483,629.161,1647.998058,6.524037345,1224.251707
TOI-5319 b,TOI-5319,1,1,Transit,2024.0,4.07853,0.016096845,0.0506,,2.83,,0.0,3580.0,0.485,0.5,61.171,534.4291227,0.034666136,13.53955529
TOI-532 b,TOI-532,1,1,Transit,2021.0,2.3266508,0.0063707,0.0296,0.0,5.82,61.5,1.718928296,3927.0,0.612,0.639,135.047,860.998184,0.079916471,91.21218874
TOI-5322 b,TOI-5322,1,1,Transit,2025.0,5.4233207,0.014859019,0.0604,0.055,16.6117094,184.0226477,0.221197339,5692.0,1.462,0.998,476.899,1350.304102,2.013001789,551.7854998
TOI-5340 b,TOI-5340,1,1,Transit,2025.0,4.9394392,0.0135448,0.0628,0.13,15.07607904,270.154146,0.434408204,5990.0,1.842,1.35,532.629,1564.239657,3.919010177,993.7041505
TOI-5344 b,TOI-5344,1,1,Transit,2023.0,3.792622,0.01038383,0.04041,0.054,10.60369574,130.9453037,0.605159357,3747.0,0.588,0.612,138.367,689.1907018,0.06114758,37.44566724
TOI-5349 b,TOI-5349,1,1,Transit,2026.0,3.317921,0.009075585,0.0369,0.03,10.2,127.4,0.661485778,3751.0,0.58,0.61,188.336,717.0663727,0.059749475,43.88148957
TOI-5350 b,TOI-5350,1,1,Transit,2025.0,7.581367,0.020789027,0.0796,0.0165,12.41955062,2094.489202,6.024376126,6220.0,1.263,1.167,277.419,1194.667378,2.142190504,338.0897111
