pl_name,sy_plx
GJ 317 b,65.7744
GJ 317 c,65.7744
GJ 317 c,65.7744
GJ 317 c,65.7744
GJ 317 c,65.7744
GJ 317 c,65.7744
GJ 3222 b,54.8301
GJ 328 b,48.6883
GJ 328 b,48.6883
GJ 328 c,48.6883
GJ 3293 b,49.4999
GJ 3293 b,49.4999
GJ 3293 c,49.4999
GJ 3293 c,49.4999
GJ 3293 d,49.4999
GJ 3293 e,49.4999
GJ 3323 b,186.023
GJ 3323 c,186.023
GJ 3341 b,42.3099
GJ 338 B b,157.885
GJ 338 B b,157.885
GJ 341 b,95.6279
GJ 341 b,95.6279
GJ 3470 b,33.9601
GJ 3470 b,33.9601
GJ 3470 b,33.9601
GJ 3470 b,33.9601
GJ 3470 b,33.9601
GJ 3470 b,33.9601
GJ 3470 b,33.9601
GJ 3470 b,33.9601
GJ 3470 b,33.9601
GJ 3470 b,33.9601
GJ 3470 b,33.9601
GJ 3473 b,36.515
GJ 3473 b,36.515
GJ 3473 c,36.515
GJ 3512 b,105.386
GJ 3512 b,105.386
GJ 3512 b,105.386
GJ 3512 c,105.386
GJ 3512 c,105.386
GJ 357 b,105.883
GJ 357 b,105.883
GJ 357 b,105.883
GJ 357 b,105.883
GJ 357 b,105.883
GJ 357 c,105.883
GJ 357 d,105.883
GJ 3634 b,49.044
GJ 367 b,106.211
GJ 367 b,106.211
GJ 367 b,106.211
GJ 367 c,106.211
GJ 367 d,106.211
GJ 3779 b,72.7352
GJ 3929 b,63.224
GJ 3929 b,63.224
GJ 3929 b,63.224
GJ 3929 c,63.224
GJ 393 b,142.188
GJ 3942 b,59.0421
GJ 3988 b,100.874
GJ 3998 b,55.0799
GJ 3998 b,55.0799
GJ 3998 c,55.0799
GJ 3998 c,55.0799
GJ 3998 d,55.0799
GJ 411 b,392.4
GJ 411 b,392.4
GJ 411 b,392.4
GJ 411 b,392.4
GJ 411 b,392.4
GJ 414 A b,84.0803
GJ 414 A b,84.0803
GJ 414 A c,84.0803
GJ 414 A c,84.0803
GJ 422 b,78.9409
GJ 422 b,78.9409
GJ 4274 b,138.178
GJ 4274 c,138.178
GJ 4276 b,46.8399
GJ 433 b,110.291
GJ 433 b,110.291
GJ 433 b,110.291
GJ 433 b,110.291
GJ 433 c,110.291
GJ 433 c,110.291
GJ 433 d,110.291
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 436 b,102.501
GJ 463 b,54.4509
GJ 463 b,54.4509
GJ 463 b,54.4509
GJ 463 b,54.4509
GJ 480 b,70.2164
GJ 480 b,70.2164
GJ 486 b,123.821
GJ 486 b,123.821
GJ 486 b,123.821
GJ 486 b,123.821
GJ 504 b,57.0186
GJ 504 b,57.0186
GJ 508.2 b,60.0765
GJ 514 b,131.243
GJ 536 b,96.0398
GJ 536 b,96.0398
GJ 536 b,96.0398
GJ 536 c,96.0398
GJ 581 b,158.749
GJ 581 b,158.749
GJ 581 b,158.749
GJ 581 b,158.749
GJ 581 b,158.749
GJ 581 b,158.749
GJ 581 b,158.749
GJ 581 c,158.749
GJ 581 c,158.749
GJ 581 c,158.749
GJ 581 c,158.749
GJ 581 c,158.749
GJ 581 c,158.749
GJ 581 e,158.749
GJ 581 e,158.749
GJ 581 e,158.749
GJ 581 e,158.749
GJ 581 e,158.749
GJ 625 b,154.471
GJ 649 b,96.3141
GJ 649 b,96.3141
GJ 649 b,96.3141
GJ 667 C b,138.017
GJ 667 C b,138.017
GJ 667 C b,138.017
GJ 667 C b,138.017
GJ 667 C b,138.017
GJ 667 C c,138.017
GJ 667 C c,138.017
GJ 667 C c,138.017
GJ 667 C c,138.017
GJ 667 C e,138.017
GJ 667 C f,138.017
GJ 667 C g,138.017
GJ 674 b,219.801
GJ 676 A b,62.365
GJ 676 A b,62.365
GJ 676 A b,62.365
GJ 676 A b,62.365
GJ 676 A b,62.365
GJ 676 A c,62.365
GJ 676 A c,62.365
GJ 676 A d,62.365
GJ 676 A d,62.365
GJ 676 A d,62.365
GJ 676 A e,62.365
GJ 676 A e,62.365
GJ 676 A e,62.365
GJ 680 b,103.35
GJ 682 b,199.703
GJ 682 c,199.703
GJ 685 b,69.8254
GJ 687 b,219.781
GJ 687 b,219.781
GJ 687 b,219.781
GJ 687 b,219.781
GJ 687 c,219.781
GJ 720 A b,64.2488
GJ 724 b,58.9132
GJ 740 b,90.0477
GJ 806 b,82.9968
GJ 806 b,82.9968
GJ 806 c,82.9968
GJ 832 b,201.407
GJ 832 b,201.407
GJ 832 b,201.407
GJ 832 b,201.407
GJ 832 b,201.407
GJ 832 b,201.407
GJ 849 b,113.6
GJ 849 b,113.6
GJ 849 b,113.6
GJ 849 b,113.6
GJ 849 b,113.6
GJ 849 b,113.6
GJ 849 b,113.6
GJ 849 c,113.6
GJ 849 c,113.6
GJ 849 c,113.6
GJ 86 b,92.7042
GJ 86 b,92.7042
GJ 86 b,92.7042
GJ 876 b,213.867
GJ 876 b,213.867
GJ 876 b,213.867
GJ 876 b,213.867
GJ 876 b,213.867
GJ 876 b,213.867
GJ 876 b,213.867
GJ 876 b,213.867
GJ 876 b,213.867
GJ 876 c,213.867
GJ 876 c,213.867
GJ 876 c,213.867
GJ 876 c,213.867
GJ 876 c,213.867
GJ 876 c,213.867
GJ 876 c,213.867
GJ 876 d,213.867
GJ 876 d,213.867
GJ 876 d,213.867
GJ 876 d,213.867
GJ 876 d,213.867
GJ 876 d,213.867
GJ 876 d,213.867
GJ 876 e,213.867
GJ 876 e,213.867
GJ 876 e,213.867
GJ 887 b,304.219
GJ 887 b,303.9
GJ 887 b,304.219
GJ 887 c,304.219
GJ 887 c,304.219
GJ 887 c,303.9
GJ 887 d,304.219
GJ 887 e,304.219
GJ 896 A b,159.71
GJ 900 b,48.0331
GJ 9066 c,223.635
GJ 9066 c,223.635
GJ 9404 b,41.8403
