pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_orbeccen,st_teff,sy_snum,P_ESI
DMPP-2 b,14.2,171.48,1000.0,0.06637999999999966,0.06,6500.0,1.0,0.066751158
DMPP-3 A b,1.4400000000000004,2.670000000000016,854.0,0.05958000000000041,0.42,5138.0,2.0,0.2945082
DMPP-4 b,3.53,12.199999999999989,925.996,0.048530000000000406,0.063,6400.0,1.0,0.1910937
DP Leo b,12.7,1995.88832,2091.2,8.19,0.39,13500.0,2.0,0.070192739
DS Tuc A b,5.7,413.179,850.0,0.5299200000000006,0.0,5428.0,2.0,0.14622701
EPIC 201170410.02,1.0469999999999997,1.1499999999999773,679.4,0.03490000000000126,0.0,3648.0,1.0,0.41742203
EPIC 201238110 b,1.87,4.160000000000025,395.20000000000005,0.11537400000000098,0.03352,3587.0,1.0,0.71610717
EPIC 201427007 b,1.5,2.8600000000000136,1214.6,0.043543999999999805,0.0,5633.0,1.0,0.27925568
EPIC 201497682 b,0.6920000000000002,0.2599999999999909,895.6,0.05613199999999985,0.0,4991.0,1.0,0.2884597
EPIC 201595106 b,1.565,7.670000000000016,2038.0,0.017699999999999605,0.0,5679.0,1.0,0.28738835
EPIC 201615463 c,1.2199999999999998,1.9800000000000182,856.0,0.1165540000000016,0.0,5960.0,1.0,0.29059477
EPIC 201754305 d,1.0300000000000002,1.079999999999984,874.8,0.07443400000000011,0.0,4761.0,1.0,0.30181698
EPIC 201757695.02,0.9081900000000003,0.6879999999999882,737.8,0.029600000000000293,0.0,4520.0,1.0,0.29492741
EPIC 201833600 c,1.0,0.97199999999998,709.6,0.06121999999999961,0.0,4326.0,1.0,0.31092324
EPIC 201841433 b,1.04,1.1200000000000045,1173.8,0.03500000000000014,0.0,5053.0,1.0,0.30019225
EPIC 205950854 c,1.3099999999999996,2.269999999999982,960.6,0.05752000000000024,0.04,5502.7,1.0,0.2983761
EPIC 206024342 b,1.6999999999999997,3.5299999999999727,987.6,0.11639800000000111,0.0,5724.0,1.0,0.27499151
EPIC 206024342 c,1.3999999999999995,2.5400000000000205,1136.4,0.05723199999999906,0.0,5724.0,1.0,0.28380461
EPIC 206024342 d,2.6,7.269999999999982,602.2,0.25811600000000023,0.0,5724.0,1.0,0.25063549
EPIC 206032309 b,1.0099999999999998,1.009999999999991,513.3399999999999,0.09159999999999968,0.0612,3489.0,1.0,0.33497372
EPIC 206042996 b,1.6999999999999997,3.5299999999999727,765.4,0.07409999999999961,0.068,4114.0,1.0,0.30053173
EPIC 206042996 c,1.2000000000000002,1.8700000000000045,929.88,0.02522399999999969,0.0,4114.0,1.0,0.29086618
EPIC 206215704 b,1.0,0.97199999999998,531.8,0.03465399999999885,0.029999999999999992,3297.0,1.0,0.39343273
EPIC 206317286 b,0.96,0.839999999999975,792.0,0.08340000000000014,0.013999999999999999,4752.0,1.0,0.29585146
EPIC 206317286 c,2.0940000000000003,5.029999999999973,560.976,0.27550399999999975,0.104,4752.0,1.0,0.32522901
EPIC 211822797 b,1.9200000000000004,4.350000000000023,431.0,0.11950000000000038,0.06,4057.0,1.0,0.48103316
EPIC 211945201 b,5.76,11.0,817.0,0.1493000000000002,0.0,6069.0,1.0,0.14596648
EPIC 212297394 b,1.4799999999999995,2.7900000000000205,1149.0,0.04593399999999992,0.0,5171.0,1.0,0.28428654
EPIC 212297394 c,2.2700000000000005,5.769999999999982,866.0,0.08536799999999989,0.0318,5171.0,1.0,0.25312883
EPIC 212424622 b,2.17,5.350000000000023,673.8,0.15538200000000035,0.061,5782.33,1.0,0.26315746
EPIC 212499991 b,1.6,3.1899999999999977,875.2,0.06547999999999998,0.0,4982.79,1.0,0.43027597
EPIC 212587672 b,1.2599999999999998,2.1299999999999955,756.0,0.14097400000000082,0.0,6004.0,1.0,0.30792694
EPIC 212587672 c,2.32,5.990000000000009,658.0,0.17262999999999895,0.04,6004.0,1.0,0.26862097
EPIC 212624936 b,1.2000000000000002,1.8700000000000045,1040.6,0.07518599999999953,0.0,5765.0,1.0,0.29032315
EPIC 212624936 c,2.3,5.899999999999977,803.6,0.15781000000000045,0.061,5765.0,1.0,0.25775504
EPIC 212737443 b,2.586,7.199999999999989,536.0,0.09799999999999986,0.2,4684.0,1.0,0.29137883
EPIC 212737443 c,2.69,7.699999999999989,316.0,0.28000000000000025,0.2,4684.0,1.0,0.59538025
EPIC 220492298 b,0.9900000000000002,0.9370000000000118,1018.8,0.05848599999999937,0.0,5620.0,1.0,0.29325625
EPIC 220554210 c,1.6,3.1899999999999977,1259.2,0.039335999999999594,0.074,5499.0,1.0,0.27483038
EPIC 220674823 b,1.6060000000000003,7.5400000000000205,2324.0,0.013200000000000323,0.0,5578.0,1.0,0.26861068
EPIC 220674823 c,2.7119999999999997,7.899999999999977,838.0,0.10780000000000012,0.18,5578.0,1.0,0.23523564
EPIC 228836835 b,1.1000000000000005,1.3700000000000045,932.0,0.029336000000000695,0.05261,3782.0,1.0,0.30017627
EPIC 229004835 b,2.332,10.399999999999977,804.0,0.12370000000000037,0.23,5868.0,1.0,0.25645062
EPIC 246851721 b,11.780659,953.49,1401.0,0.07228999999999974,0.31742,6202.0,2.0,0.076605361
