pl_name,star_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth received flux),sy_plx
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc d,55 Cnc,2,7,Radial Velocity,2002,4799,13.13894593,5.6,0.0913,714.99854,1214.104515,1.83E-05,5198,0.98,1.015,12.5855,104.8496,0.629052803,0.020059082,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
55 Cnc e,55 Cnc,2,7,Radial Velocity,2004,0.7365474,0.002016557,0.01544,0.05,1.875,7.99,6.678740385,5172,0.943,0.905,12.5855,1948.956712,0.570883249,2394.70879,79.4274
